Year,Title,Origin,Director,Cast,Genre,Plot
1916,"fireman","american","charlie chaplin","charlie chaplin edna purviance lloyd bacon","short comedy","beautiful girl's father bacon arranges local fire chief campbell have his house burn down so he can collect insurance money exchange chief's complicity arson father will permit fire chief marry his daughter"
1916,"hell's hinges","american","william s hart charles swickard clifford smith","william s hart clara williams","otros","hell's hinges tells story weak-willed minister rev bob henley played by standing who comes wild debauched frontier town his sister faith played by williams owner saloon silk miller played by hollingsworth his accomplices sense trouble encourage local rowdies disrupt attempts evangelize community hard-bitten gunman blaze tracy played by hart most dangerous man around is however won over by sincerity faith he intervenes expel rowdies from newly built church"
1916,"hoodoo ann","american","lloyd ingraham","mae marsh robert harron","comedydrama","ann mae marsh is young girl who has lived orphanage since infancy she is disliked spurned by other children treated coldly by orphanage administrators she is told by orphanage cook black cindy madame sul-te-wan during palm-reading that she will be cursed until she is married ann's stay orphanage is endless series unhappy circumstances she steals doll belonging popular girl named goldie mildred harris then accidentally breaks doll thereby adding her loneliness misery one day while children are napping fire breaks out orphanage ann heroically saves goldie from flames"
Impressed with Ann's selflessness,"kindly couple","samuel elinor knapp wilbur higby loyola o'connor take her later adopt ann ann is immediately smitten neighbor boy named jimmie vance robert harron two youths begin courting believing that her curse is coming end","ann attends motion picture jimmie enthralled by action-filled western film","following day ann imitates film's main character pansy thorne while playing gun unbeknownst ann","gun is loaded round goes off","bill higgins charles lee lying floor believing him dead"
1916,"hulda from holland","american","john b o'brien","mary pickford frank losee","drama","upon death her parents little hulda find herself sole guardian her three small brothers fortunately she receives letter from her wealthy uncle peter pennsylvania inviting three orphans come america live him shortly afterwards uncle peter drives port new york pick them up but is injured by automobile accident taken hospital where he lies unidentified uncle peter's disappearance not only causes distress three newly arrived dutch immigrants but also railroad president mr walton who is trying buy right-of-way through uncle peter's farmland has only three deals left which close deal search old man by both hulda mr walton's son result blossoming romance between two"
1916,"joan woman","american","cecil b demille","geraldine farrar","historical","british officer bosworth world war i has dream life joan arc farrar officer pulls sword out wall trench he is sword used belong joan arc removing sword conjures up ghost joan leading her telling her story setting then changes france where story joan arc is told her leading french troops victory her subsequent burning stake story ends back trench officer deciding go suicide mission using joan's story sword as inspiration 5"
1916,"lights new york","american","van dyke brooke","leah baird walter mcgrail adele degarde","drama","hoping improve his financial lot petty thief hawk chovinski mcgrail hires dancing instructor teach him how bear himself like gentleman his lessons completed hawk then poses as european nobleman intending trap wealthy wife yolande cowles baird sees through hawk's pose but falls love him anyway"
1916,"lonesome luke leans literary","american","hal roach","harold lloyd bebe daniels","short comedy","lonesome luke harold lloyd tries sell books businessman his wife"
1916,"madame x","american","george f marion","dorothy donnelly john bowers","drama","woman is thrown out her home by her jealous husband sinks into depravity twenty years later she finds herself accused murder saving her son who does not know who she is he finds himself defending her without knowing her background"
1916,"man who would not die","american","william russell jack prescott","charlotte burton harry keenan","otros","wealthy young woman agnes played by burton is loved by identical twin brothers clyde ward kingsley dual role played by russell she marries clyde he immediately begins squandering her fortune when money is almost gone clyde comes up plan collect his life insurance policy as his brother ward who still loves agnes is terminally ill he persuades him take his place so insurance company will believe that clyde has died instead ward"
1916,"manhattan madness","american","allan dwan","douglas fairbanks jewel carmen","comedy","robbers steal koor-hal ruby killing four process elude police newspaper managing editor phil bane sends conceited crime writercriminologist george melville write stories boost his circulation melville claims crime was masterminded by andre berlea man thought have died four years before he predicts reporters that berlea will next steal sunburst diamond kill only witness butler ruby theft seconds later they receive news that butler has been murdered"
On his way to see Bane,"melville is about give female panhandler some money when he is distracted by car accident woman takes opportunity steal his wallet he follows her beauty salon when she emerges","after complete makeover","she begs him not do anything until after 8 o'clock over dinner","she explains that she ran away from her cruel husband another man","from whom she later separated her ex-husband is finally letting her see her daughter","she needed money make herself presentable they drive fancy mansion mrs northrop faints when she is shown coffin mr northrop explains that child died two days before however"
Minutes later,"they learn that famous painting has been stolen from next door gregory savors his latest acquisition secret when henchman suggests getting rid melville","gregory turns him down having found worthy foe","he will not do something so crude he goes see melville hires him help play he asks why melville is so sure that berlea is alive melville explains that he believes that berlea has compulsion own beautiful things before he died","he tried buy three such objects","but was turned down now two them have been stolen melville predicts that third","will be purloined saturday 11 pm bane has faith him keeps his staff after hours notifies authorities"
Gregory's men have dug a tunnel between the theater where the play,"set front lines world war i","will be performed bank premiere","when mock explosions firing are set off battle scene","they blast their way into vault when peyton discovers theft","she fears melville's life however","later that night captures gregoryberlea furious being fooled"
1916,"one am","american","charlie chaplin","charlie chaplin","short comedy","film opens scene wealthy young man chaplin arriving his house taxi late night after night heavy drinking he struggles car door when exiting car then paying taxi driver albert austin when he gets his front door he thinks that he has forgotten key has enter through window while climbing through window he steps into fishbowl that's placed underneath it then almost falls down when carpet underneath him slides after finding his balance again he goes through his pockets realises that key has been there all while he goes back through window enters through front door"
1916,"other side door","american","tom ricketts","harold lockwood may allison","romantic drama","sets 19th century plot centered man harold lockwood who is falsely accused murder other side door was shot monterrey mexico1"
1916,"sherlock holmes","american","arthur berthelet","william gillette edward fielding","mystery","prince heir apparent large empire was once lover alice faulkner's sister during their love affair he had written some incriminating letters her alice was given these letters safe keeping deathbed her sister count von stalburg prince's assistant sir edward palmer high british official have been given task negotiating restitution letters prince prior his upcoming marriage"
1916,"soul's cycle","american","ulysses davis","patricia palmer","drama","nadia daughter nobleman rejects ancient greece's senator theron's love so he has her her lover lucian thrown into burning crater as punishment this sin gods decree that he will roam earth as lion until he can right his wrong few millennia later nadia is now agnes daughter millionaire lucian is arthur wall street broker"
1916,"stepping stone","american","reginald barker thomas h ince","frank keenan mary boland","drama","mary beresford boland is wife unambitious law clerk al beresford beresford thanks mary's tenacity carefully calculated social-climbing al is promoted position personal secretary prominent financier elihu knowland keenan unfortunately success goes al's head like narcotic soon he has alienated everyone new york including mary who runs off parts unknown"
1916,"under two flags","american","j gordon edwards","theda bara herbert heyes","drama","as described film magazine3 british nobleman bertie cecil heyes takes upon himself blame his brother's forgeries when supposed dead enlists french foreign legion serving algiers there he wins friendship emir native whose wife he had saved from lust his commanding officer old friends visit algiers recognize bertie urge him return claim his own his refusal leads scene where he strikes his commanding officer this he is condemned death cigarette daughter regiment rides obtain pardon bertie makes terrific trip through sand storm she arrives too late reprieve but just time receive her own body bullets intended bertie"
1916,"where are my children","american","phillips smalley","tyrone power sr juan de la cruz","crime drama","richard walton district attorney is presented obscenity case medical practitioner dr homer has been arrested distributing 'indecent' birth control literature stand dr homer makes strong case legalizing contraception he recounts three incidents from his medical practice each shown brief flashback children are exposed violent abuse family riddled alcoholism impoverished family is unable provide adequate medical care their sick children single mother abandoned by her male lover commits suicide her young infant"
Following Malfit's arrest and trial,"richard walton examines doctor's ledgers realized that his wife many her friends are listed as having received 'personal services' he returns home","furious","find them lunching his home he banishes his wife's friends","saying 'i should bring you trial manslaughter' confronts edith cry","'where are my children' she is overcome remorse as years pass","childless life"
1916,"youth's endearing charm","american","william c dowlan","mary miles minter wallace macdonald","drama","film is about court case embezzlement"
1917,"all aboard","american","alfred j goulding","harold lloyd bebe daniels","comedy","father takes his daughter trip bermuda attempt separate her from suitor little does anyone know that suitor has stowed away board when he is discovered he is credited catching crook hapless hero receives reward also girl"
1917,"bad boy","american","chester withey","robert harron richard cummings","crime drama","small town youth jimmie bates robert harron is well-intentioned but troubled youth jimmie is rowdy boy who is always getting into trouble playing pranks his friends neighbors although deeply love young mary mildred harris he eventually spurns mary's affection more outgoing worldly young ruth colleen moore"
1917,"bucking broadway","american","john ford","harry carey molly malone","western","as described film magazine3 cheyenne harry carey one cowboys ranch wyoming falls love helen malone his boss's daughter she decides elope city captain thornton pegg wealthy visitor ranch from new york cheyenne helen's father wells are downhearted cheyenne devastated by loss his fiance decides go city rescue her finds thorton giving dinner party hotel about announce his engagement helen as dinner progresses helen discovers true nature thornton endeavors escape from him cheyenne comes her rescue assistance some cowboys clean up place leaving cheyenne helen reunited"
1917,"butcher boy","american","'fatty' arbuckle","'fatty' arbuckle buster keaton","comedy","arbuckle butcher boy country store is love almondine alice lake daughter store's general manager mr grouch fatty's attempts get close her are sidetracked when store's clerk alum al st john rival alice's affections starts fight rotund butcher their confrontation store soon involves earlier customer buster keaton as well as grouch resulting mayhem includes small bags flour being hurled exploding pies being tossed brooms being wildly swung amid thick clouds flour lingering air"
Determined to marry Almondine,"fatty later disguises himself as female cousin follows her all-girls boarding school unfortunately","alum has same idea masquerades too as female student after another fight breaks out between fatty alum","fatty is taken by school's principal miss teachem separate room be punished meanwhile","alum his accomplices keaton joe bordeaux attempt kidnap almondine luckily","fatty's dog luke distracts gang while fatty almondine escape once outside","so they run off arm-in-arm get married there"
1917,"camille","american","j gordon edwards","theda bara alan roscoe","drama","as described film magazine3 armand duval roscoe son proud but poor house duval loves camille bara notorious parisian beauty his love camille means that his sister celeste whitney cannot marry man she loves so father goes camille begs her give armand up which she does this arouses anger armand he denounces her one evening public count de varville law challenges armand duel which he wins wounding armand arm believing camille no longer loves him armand does not go see her one day his father tells him that camille is dying he goes her after few words she dies arms her lover"
1917,"cheyenne's pal","american","john ford","harry carey gertrude astor","western","as described film magazine2 noisy jim corey british officer is anxious purchase cactus peter horse belonging cheyenne harry carey but harry refuses sell harry meets flora belle astor one night dance hall since its pay day harry spends all his money her when he runs out she looks around someone else who still has money spend"
1917,"cleopatra","american","j gordon edwards","theda bara fritz leiber sr thurston hall","historical","because film has been lost following summary is reconstructed from description contemporary film magazine"
Cleopatra (Bara),"siren egypt","by clever ruse reaches caesar leiber he falls victim her charms they plan rule world together","but then caesar falls cleopatra's life is desired by church","as wanton woman's rule has become intolerable pharon roscoe","high priest","when she is need some money"
1917,"devil-stone","american","cecil b demille","geraldine farrar wallace reid","romance","as described film magazine3 silas martin marshall miser marries marcia manot farrar order gain possession valuable emerald she owns that once belonged norse queen is now cursed after wedding marcia learns true side her husband realizes that marriage was mistake silas steals stone places marcia guy sterling reid his business partner false light order get divorce marcia sneaks one night discovers that silas has stone she gains possession it but silas attempts regain it they struggle marcia kills him self-defense sterling is accused murder but evidence clears him crime remains mystery sterling marries marcia has expert criminologist investigate murder he traces crime marcia when confronted she confesses he gives her one month's leave absence after which she is turn herself into law marcia returns her old home gives priest emerald so he can make provision homeless orphans she returns gives herself up criminologist however finding that her good deed has redeemed her criminologist does not turn her over law she sterling are happily reunited"
1917,"easy street","american","charles chaplin","charlie chaplin edna purviance","comedy","slum called easy street police are failing maintain law order"
1917,"enlighten thy daughter","american","ivan abramson","","sexual hygieneexploitation film","exploitationsexual hygiene film warns against dangers premarital sex lillian stevens played by zena keefe is young woman who ends up having sex harold winthrop played by james w morrison after both are caught unexpected storm during date course she gets pregnant mom does not realize lillian has been out all night due her own gambling addiction same young man later starts dating lillian's cousin ruth played by rubye de remer they get engaged but lillian's pregnancyand identity fatheris revealed when she dies from illegal abortion ruth breaks off engagement1"
1917,"golden rule kate","american","reginald barker","louise glaum","western","setting is old west town paradise nevada where young woman mercedes murphy played by louise glaum co-owns operates combination saloon dance hall called red hen her business partner slick barney played by jack richardson her little half-sister olive live sumner played by mildred harris who is crippled lives her she makes every effort protect child tough but good-hearted businesswoman mercedes shows tender side home live her partner slick cowboy called heller played by john gilbert who has heart gold are both interested live"
1917,"great expectations","american","robert g vignola","jack pickford louise huff","drama","young boy pip runs into escaped convict his local churchyard pip does favours magwitch convict such as bringing him food etc until magwitch is eventually arrested deported australia"
1917,"gulf between","american","wray bartlett physioc","grace darmond niles welch","comedy drama","as described film magazine5 little marie farrell axzelle through carelessness her nurse is lost believed drowned she has wandered upon ship smuggler captain flagg brandt who finds her brings her up as his own her parents adopt boy help them forget their grief"
1917,"her right live","american","paul scardon","peggy hyland antonio moreno","drama","polly biggs peggy hyland is eldest family orphaned children who are taken by their uncle mayor hoadley john s robertson hoadley despises children has only taken them as good publicity upcoming election his wife mrs hoadley julia swayne gordon is equally cruel children especially polly3"
One day,"polly biggs takes children fishing meets young man named john oxmore antonio moreno","who is son opposing mayoral candidate when she returns home","polly discovers that her uncle intends send all children poorhouse as soon as election is over polly plans take revenge her uncle immediately takes children poorhouse herself","rather than let her uncle do so mayor hoadley","frightened that voters may be incensed learn that his nieces nephews are living as orphans squalid poorhouse","she children flee they find unoccupied cabin woods where brood youngsters settle unbeknownst polly"
1917,"his wedding night","american","roscoe arbuckle","'fatty' arbuckle buster keaton","comedy","arbuckle plays drug store clerk soda jerk gas station attendant who can be both lazy dishonest after he mixes soda one customer elaborate gestures juggling utensils he attends perfume counter where another customer has been indulging herself free sample after he confronts her he is distracted while african american customer steps up counter when clerk hugs her then realizes it is different customer he almost faints later while still job he proposes his boss's daughter alice alice mann she gleefully accepts scene then switches gas pump where arbuckle's character switches sign higher price when person expensive car drives up after car drives away he drinks from pump meanwhile inside al al st john another admirer alice also proposes her while they are eating watermelon when she is tells him she is already engaged soda clerk al becomes outraged begins causing commotion store after food fight that involves several customers owner store throws al out later day delivery boy buster keaton after prat fall over bicycle rack delivers alice's wedding dress her room above store he agrees model it her when she expresses worry that it will not fit her when male customer enters annoys clerk he puts chloroform sample bottle knock him out if he comes again male customer never returns but several female customers end up knocking themselves out when pretty woman arrives fatty deliberately knocks her unconscious so he can kiss her he knocks out his boss who could be witness as well after he sees another customer sampling perfume he is shocked when it has no effect her even when she drinks it he investigates by spraying himself perfume but is himself knocked out arbuckle's character unconscious al rejected lover sneaks into store his gang kidnaps delivery boy thinking it is alice since his face was covered by wedding veil they tie him up put sack over his head escaping out second story window take delivery boy by justice peace's office there they attempt force justice peace marry them gunpoint however soda clerk regains consciousness thinking group has actually kidnapped alice pursues group but only after he comically struggles mule that he wants hook wagon he thwarts gang just time he then convinces justice peace marry him delivery boy whom since his head is still covered sack he thinks is alice alice discovering what has happened gets bicycle heads justice peace's office as well she arrives time stop clerk from marrying delivery boy arbuckle's character then throws keaton's character into room al his henchmen while that scene slapstick fighting goes that room soda clerk alice must have been married final scene clerk pays justice peace but then sprays him chloroform perfume bottle takes his money back film ends long before newly wed couple reach their wedding night as title might have suggested would be forthcoming"
1917,"immigrant","american","charles chaplin","charlie chaplin edna purviance","comedy","film begins aboard steamer crossing atlantic ocean initially showcases misadventures unnamed immigrant tramp chaplin who finds himself assorted mischief while among other things playing cards eating mess hall avoiding seasick passengers along way he befriends another unnamed immigrant purviance who is traveling america her ailing mother two are robbed by pickpocket who is losing gambling tramp feeling sorry two penniless women attempts secretly place his winnings from his card game woman's pocket but ends up being mistakenly accused being pickpocket woman manages clear tramp's name upon arrival america tramp woman part company"
As they eat,"they watch restaurant's burly head waiter campbell other waiters attack forcibly eject patron who is short 10 cents paying his bill tramp","intimidated by waiter","checks now realizes he has lost his coin terrified facing same treatment as man he saw thrown out","tramp begins planning how he will fight huge man soon","however","tramp prepares fight his life just then"
1917,"again out again","american","john emerson","douglas fairbanks","comedy","young man drowns his sorrows strong drink when jilted by his girl his drunkenness gets him thrown jail where he falls love jailer's daughter when released young man tries everything get back into jail - though when he is mistaken anarchist bomber he finds himself facing not just jail but execution"
1917,"jury fate","american","tod browning","mabel taliaferro","drama","as described film magazine4 henri labordie tavernier is father twins jeanne taliaferro is sweet winsome while her brother jaques taliaferro pampered by her father is ill-tempered when jaques dies through his own caddishness jeanne spare her father from shock clips off her hair dons boys clothing so that her father will think that it was her not jaques who drowned stream when labordie dies jeanne's deception ends when she goes montreal fulfill ancient pact there she finds happiness"
1917,"little american","american","cecil b demille","mary pickford","war drama","karl von austreim jack holt lives america his german father american mother he notices young lady angela more mary pickford as she is celebrating her birthday fourth july 1914 she receives flowers from french count jules de destin raymond hatton they are interrupted by karl who also gives her present they soon battle angela's attention lose his competition count jules arranges karl be sent hamburg where he will have join his regiment angela is crushed when he announces he has leave next day angela reads paper germans french are war 10000 germans have been killed already"
1917,"little princess","american","marshall neilan","mary pickford norman kerry zasu pitts","drama","as described film magazine2 sara crewe pickford is treated as little princess minchin boarding school children until it is learned that her father has lost his entire fortune she is made slavey household servant she becky pitts another slavey become close friends who share their joys sorrows christmastime draws near girls watch preparations wistfully their loneliness arouses sympathy servant rich mr carrisford night before christmas he prepares spread slaveys their attic he calls his master mr carrisford von seyffertitz watch their joy but both are witness slaveys being abused whipped by miss minchin griffith carrisford interferes learns that sara is daughter his best friend he adopts sara becky their new home they have real christmas"
